,Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
0,MARCA,REFERENCIA,CODIGO2,NOMBRE2,PRECIO EN DÓLAR,PRECIOFIN1,VALOR DÓLAR
583,VENTUPLAS,PVC,16405,"TUBO DE ELECTRICIDAD DE  2 VENTUPLAS""",6.459878839653333,7751854.607584,1200000
584,VENTUPLAS,PVC,16406,"TUBO DE ELECTRICIDAD DE 3 VENTUPLAS""",10.38194873496,12458338.481952,1200000
585,VENTUPLAS,PVC,16407,"TUBO DE ELECTRICIDAD DE 4 VENTUPLAS""",13.279933269953334,15935919.923944,1200000
586,VENTUPLAS,PVC,16408,"CURVA  1/2 ELECTRICIDAD VENTUPLAS""",0.4299813798666667,515977.65584,1200000
587,VENTUPLAS,PVC,16409,"CURVA  3/4 ELECTRICIDAD  VENTUPLAS""",0.6722700532266667,806724.063872,1200000
588,VENTUPLAS,PVC,16410,"CURVA  1 ELECTRICIDAD VENTUPLAS""",0.8874180958066668,1064901.714968,1200000
589,VENTUPLAS,PVC,16411,"CURVA  1.1/2 ELECTRICIDAD  VENTUPLAS""",1.4517498375733333,1742099.805088,1200000
590,VENTUPLAS,PVC,16412,"CURVA  2 ELECTRICIDAD VENTUPLAS""",1.88167603392,2258011.240704,1200000
591,VENTUPLAS,PVC,16413,"CURVA  3 ELECTRICIDAD VENTUPLAS""",3.0643544592533334,3677225.351104,1200000
592,VENTUPLAS,PVC,16414,"CURVA  4 ELECTRICIDAD VENTUPLAS""",4.086140111833333,4903368.1342,1200000
593,VENTUPLAS,PVC,16420,TUBO DE ALCANTARILLADO 160MM X 6 MTS J/A VENTUPLAS,81.21194959712666,97454339.516552,1200000
594,VENTUPLAS,PVC,16421,TUBO DE ALCANTARILLADO 250MM X 6 MTS J/A VENTUPLAS,195.99948087249334,235199377.046992,1200000
595,VENTUPLAS,PVC,16501,"TUBO 1/2 X 6M  AGUA BLANCA DE VENTUPLAS""",10.403539836226667,12484247.803472,1200000
596,VENTUPLAS,PVC,16502,"TUBO 3/4 X 6M  AGUA BLANCA VENTUPLAS""",14.435854149093332,17323024.978912,1200000
597,VENTUPLAS,PVC,16503,"TUBO 1 X 6M AGUA BLANCA VENTUPLAS""",20.484112882319998,24580935.458784,1200000
598,VENTUPLAS,PVC,16505,"TUBO 1.1/2 X 6M  AGUA BLANCA VENTUPLAS""",34.651617401913335,41581940.882296,1200000
599,VENTUPLAS,PVC,16506,"TUBO 2 X 6M  AGUA BLANCA DE VENTUPLAS""",48.81844372576666,58582132.47092,1200000
600,VENTUPLAS,PVC,16507,"TUBO  2.1/2 X 6 M AGUA BLANCA  VENTUPLAS""",76.02322535240667,91227870.422888,1200000
601,VENTUPLAS,PVC,16508,"TUBO 3 X 6M  AGUA BLANCA DE VENTUP""",103.47049879141333,124164598.549696,1200000
602,VENTUPLAS,PVC,16509,"TUBO 4 X 6M AGUA BLANCA VENTUPLAS""",150.32635443702,180391625.324424,1200000
603,VENTUPLAS,PVC,16510,"TEE DE 10 A/N VENTUPLAS""",41.07640520356,49291686.244272,1200000
